Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[308/1010] 	| 92.95 | 98.93 | 61.31 | 87.00 |
[309/1010] 	| 92.42 | 98.79 | 62.60 | 87.60 |
[310/1010] 	| 91.11 | 98.61 | 60.32 | 86.11 |
[311/1010] 	| 92.23 | 98.63 | 63.00 | 87.60 |
[312/1010] 	| 92.23 | 98.74 | 59.72 | 86.81 |
[313/1010] 	| 92.45 | 98.87 | 62.00 | 86.61 |
[314/1010] 	| 91.65 | 98.81 | 61.31 | 87.50 |
[315/1010] 	| 91.88 | 98.84 | 59.72 | 86.51 |
[316/1010] 	| 92.54 | 98.85 | 60.32 | 87.40 |
[317/1010] 	| 92.36 | 98.77 | 61.71 | 85.91 |
[318/1010] 	| 92.42 | 98.82 | 63.00 | 87.40 |
[319/1010] 	| 92.46 | 98.74 | 62.30 | 87.10 |
[320/1010] 	| 92.42 | 98.82 | 59.72 | 83.83 |
[321/1010] 	| 92.62 | 98.61 | 62.80 | 87.10 |
[322/1010] 	| 91.74 | 98.58 | 60.42 | 87.50 |
[323/1010] 	| 92.67 | 98.82 | 60.81 | 86.61 |
[324/1010] 	| 92.34 | 98.83 | 60.52 | 85.02 |
[325/1010] 	| 92.36 | 98.72 | 61.21 | 85.71 |
[326/1010] 	| 92.28 | 98.85 | 60.81 | 86.51 |
[327/1010] 	| 92.40 | 98.81 | 60.62 | 85.62 |
[328/1010] 	| 92.24 | 98.69 | 61.90 | 85.52 |
[329/1010] 	| 92.38 | 98.97 | 63.10 | 86.01 |
[330/1010] 	| 92.22 | 99.00 | 62.20 | 86.01 |
[331/1010] 	| 91.97 | 98.70 | 61.90 | 85.91 |
[332/1010] 	| 92.88 | 98.98 | 63.79 | 86.11 |
[333/1010] 	| 92.45 | 98.71 | 62.10 | 85.91 |
[334/1010] 	| 92.80 | 98.91 | 63.29 | 87.40 |
[335/1010] 	| 92.88 | 99.13 | 63.19 | 86.11 |
[336/1010] 	| 92.52 | 98.87 | 62.10 | 85.91 |
[337/1010] 	| 93.04 | 98.89 | 63.39 | 86.90 |
[338/1010] 	| 92.48 | 98.77 | 63.10 | 86.81 |
[339/1010] 	| 92.67 | 98.93 | 64.09 | 87.90 |
[340/1010] 	| 92.52 | 98.81 | 63.19 | 86.01 |
[341/1010] 	| 92.77 | 98.92 | 62.50 | 86.21 |
[342/1010] 	| 92.49 | 98.93 | 60.81 | 86.01 |
[343/1010] 	| 92.04 | 98.81 | 63.19 | 87.20 |
[344/1010] 	| 92.63 | 98.84 | 62.20 | 85.91 |
[345/1010] 	| 93.02 | 98.98 | 61.11 | 85.91 |
[346/1010] 	| 92.56 | 98.70 | 60.91 | 87.60 |
[347/1010] 	| 93.07 | 98.98 | 62.80 | 87.60 |
[348/1010] 	| 92.95 | 99.09 | 60.62 | 86.71 |
[349/1010] 	| 92.97 | 99.02 | 61.31 | 86.31 |
[350/1010] 	| 92.78 | 98.80 | 61.61 | 86.31 |
[351/1010] 	| 92.95 | 99.09 | 61.11 | 86.31 |
[352/1010] 	| 92.47 | 98.54 | 62.10 | 86.71 |
[353/1010] 	| 93.02 | 99.03 | 61.01 | 87.70 |
[354/1010] 	| 92.99 | 98.88 | 63.10 | 85.52 |
[355/1010] 	| 93.16 | 98.79 | 61.81 | 86.41 |
[356/1010] 	| 92.24 | 99.02 | 61.90 | 86.61 |
[357/1010] 	| 93.37 | 98.99 | 60.42 | 83.93 |
[358/1010] 	| 93.31 | 99.05 | 61.41 | 85.62 |
[359/1010] 	| 93.27 | 99.15 | 63.19 | 85.32 |
[360/1010] 	| 93.14 | 99.07 | 63.39 | 86.71 |
[361/1010] 	| 93.19 | 98.99 | 62.60 | 87.20 |
[362/1010] 	| 93.43 | 98.93 | 60.62 | 86.41 |
[363/1010] 	| 93.24 | 98.98 | 62.00 | 86.11 |
[364/1010] 	| 93.00 | 99.01 | 62.50 | 86.31 |
[365/1010] 	| 93.14 | 99.02 | 62.20 | 86.31 |
[366/1010] 	| 92.66 | 98.73 | 62.40 | 86.90 |
[367/1010] 	| 92.93 | 99.03 | 62.00 | 86.51 |
[368/1010] 	| 93.12 | 98.85 | 61.90 | 85.81 |
[369/1010] 	| 93.18 | 99.09 | 63.59 | 86.21 |
[370/1010] 	| 93.09 | 99.04 | 63.99 | 87.80 |
[371/1010] 	| 93.42 | 99.24 | 61.51 | 85.32 |
[372/1010] 	| 93.49 | 98.89 | 62.40 | 86.51 |
[373/1010] 	| 93.46 | 99.07 | 61.61 | 86.71 |
[374/1010] 	| 93.61 | 98.99 | 63.00 | 86.21 |
[375/1010] 	| 93.35 | 99.03 | 61.11 | 86.90 |
[376/1010] 	| 93.28 | 98.89 | 60.91 | 85.32 |
[377/1010] 	| 92.84 | 98.94 | 61.90 | 87.00 |
[378/1010] 	| 93.42 | 99.04 | 62.20 | 85.62 |
[379/1010] 	| 93.49 | 99.17 | 62.00 | 87.20 |
[380/1010] 	| 93.34 | 99.04 | 61.61 | 86.41 |
[381/1010] 	| 93.57 | 99.01 | 58.83 | 84.72 |
[382/1010] 	| 93.59 | 99.10 | 61.01 | 86.21 |
[383/1010] 	| 93.97 | 99.05 | 62.10 | 85.22 |
[384/1010] 	| 93.19 | 98.90 | 62.30 | 86.41 |
[385/1010] 	| 93.67 | 99.07 | 60.71 | 85.32 |
[386/1010] 	| 93.14 | 98.93 | 61.71 | 85.71 |
[387/1010] 	| 93.17 | 98.90 | 62.40 | 86.51 |
